,Name,Price,Market-Cap
0,Bitcoin,"$28,601.99","$544,902,475,939"
1,Ethereum,"$1,731.21","$209,389,593,637"
2,Tether,$0.9989,"$72,456,371,782"
3,USD Coin,$1.00,"$53,576,639,876"
4,BNB,$299.61,"$48,919,998,939"
5,XRP,$0.3846,"$18,592,564,872"
6,Binance USD,$1.00,"$18,155,597,214"
7,Cardano,$0.4544,"$15,331,808,601"
8,Solana,$41.14,"$13,963,094,437"
9,Dogecoin,$0.08181,"$10,853,246,127"
10,Polkadot,$9.15,"$9,031,529,920"
11,Wrapped Bitcoin,"$28,574.37","$7,836,574,968"
12,TRON,$0.07983,"$7,500,395,555"
13,Dai,$0.9998,"$6,605,858,495"
14,Avalanche,$22.80,"$6,174,346,527"
15,Shiba Inu,$0.00001055,"$5,793,605,964"
16,UNUS SED LEO,$5.03,"$4,797,355,957"
17,Polygon,$0.5804,"$4,617,614,223"
18,Litecoin,$61.69,"$4,341,929,277"
19,Cronos,$0.1681,"$4,247,033,609"
20,FTX Token,$26.51,"$3,609,557,134"
21,Uniswap,$4.71,"$3,387,034,390"
22,NEAR Protocol,$4.82,"$3,365,654,717"
23,Bitcoin Cash,$175.20,"$3,341,900,256"
24,Monero,$180.52,"$3,272,251,798"
25,Ethereum Classic,$22.64,"$3,056,642,921"
26,Stellar,$0.1211,"$3,014,640,642"
27,Chainlink,$6.31,"$2,947,403,254"
28,Cosmos,$9.36,"$2,679,235,654"
29,Algorand,$0.3616,"$2,481,913,090"
30,Flow,$2.35,"$2,438,271,819"
31,VeChain,$0.02909,"$1,870,805,791"
32,Hedera,$0.08803,"$1,825,889,012"
33,ApeCoin,$6.13,"$1,792,448,067"
34,Decentraland,$0.9435,"$1,739,846,711"
35,Tezos,Learn,2.91% 7.73%
36,Internet Computer,$7.00,"$1,637,605,814"
37,The Sandbox,$1.30,"$1,603,760,304"
38,Filecoin,$7.29,"$1,550,145,752"
39,Elrond,$68.05,"$1,496,833,125"
40,KuCoin Token,$15.19,"$1,494,310,807"
41,Aave,$92.74,"$1,286,151,785"
42,TrueUSD,$1.00,"$1,245,580,999"
43,Zcash,$85.53,"$1,238,300,184"
44,EOS,$1.22,"$1,210,600,453"
45,Klaytn,$0.406,"$1,153,664,345"
46,Axie Infinity,$18.22,"$1,109,635,557"
47,Maker,"$1,129.00","$1,103,742,234"
48,Theta Network,$1.10,"$1,101,725,622"
49,Huobi Token,$6.98,"$1,080,915,457"
50,BitTorrent-New,$0.000001029,"$955,948,039"
51,Pax Dollar,$0.9984,"$944,123,855"
52,The Graph,$0.1357,"$936,581,744"
53,Bitcoin SV,$48.06,"$916,567,523"
54,Fantom,$0.3536,"$899,991,142"
55,eCash,$0.00004695,"$895,449,541"
56,IOTA,$0.3068,"$852,667,422"
57,Helium,$7.03,"$833,264,866"
58,THORChain,$2.46,"$815,084,793"
59,Neutrino USD,$0.9649,"$813,722,553"
60,PancakeSwap,$4.27,"$791,837,538"
61,Quant,$62.45,"$753,922,019"
62,Neo,$10.25,"$723,253,690"
63,OKB,$11.33,"$679,932,937"
64,Stacks,$0.5128,"$674,420,341"
65,Nexo,$1.19,"$664,930,975"
66,Chiliz,$0.1077,"$646,034,423"
67,Loopring,$0.4792,"$637,378,061"
68,STEPN,$1.04,"$625,285,540"
69,PAX Gold,"$1,856.61","$619,366,125"
70,Zilliqa,$0.04721,"$606,103,363"
71,USDD,$0.9998,"$601,753,308"
72,Dash,$54.94,"$590,241,137"
73,Celo,$1.31,"$573,343,091"
74,Convex Finance,$9.22,"$572,514,315"
75,Kusama,$66.36,"$562,101,001"
76,Curve DAO Token,$1.19,"$548,761,986"
77,Basic Attention Token,$0.3628,"$543,481,096"
78,Enjin Coin,$0.5936,"$528,276,545"
79,Gala,$0.07099,"$495,280,854"
80,Harmony,$0.04098,"$495,047,322"
81,Amp,$0.01152,"$486,304,091"
82,Decred,$34.42,"$483,782,897"
83,Gnosis,$184.85,"$476,844,236"
84,Waves,$4.36,"$472,923,805"
85,XDC Network,$0.03751,"$461,529,264"
86,Kava,$2.29,"$454,170,883"
87,Arweave,$13.17,"$439,664,064"
88,Mina,$0.8183,"$425,607,836"
89,Fei USD,$0.9913,"$421,314,813"
90,NEM,$0.04676,"$420,854,370"
91,GateToken,$5.24,"$410,425,073"
92,TerraClassicUSD,$0.03633,"$409,806,850"
93,Holo,$0.002314,"$401,021,561"
94,Compound,$56.12,"$399,850,926"
95,Qtum,$3.76,"$391,325,707"
96,1inch Network,$0.9043,"$375,348,546"
97,Bitcoin Gold,$21.35,"$373,868,746"
98,Kadena,$2.01,"$370,920,542"
99,BORA,$0.4254,"$366,378,244"
100,IoTeX,$0.03566,"$340,255,113"
